user_id,order_id,order_value,product_id
10112,26479,180,77912
31352,NULL,NULL,NULL
12742,34350,250,2117
12924,31251,0,24
12924,31251,0,33
12924,31251,0,1
12924,31251,0,11
12924,31251,0,3
24108,52156,250,1121
24108,52156,250,1111
24108,52187,250,3144
24108,52187,250,1121
3039,14598,180,2120
3039,14598,180,2117
35634,77317,150,78088
29493,62799,0,NULL
29493,63364,0,NULL
31394,67177,50,216
9963,NULL,NULL,NULL
10790,27737,600,78055
28274,60174,0,NULL
34757,75084,0,2121
34757,75084,0,77802
34757,75084,0,77808
30337,64682,290,77792
30337,64688,330,78111
30337,64689,330,78111
30337,64829,250,2120
30337,64829,250,2117
30337,65015,180,2117
30337,65015,180,2120
30337,65428,220,77792
30337,65429,180,2117
30337,65450,180,2117
30337,65450,180,2118
7808,23481,400,77849
3338,43730,400,2117
15304,NULL,NULL,NULL
3795,15814,180,2118
3795,15814,180,77812
3795,18401,180,2116
3795,19203,180,2116
3795,21950,450,2116
3795,24939,300,2118
3795,25039,450,2118
3795,26914,180,2121
3795,26914,180,2118
3795,26914,180,3142
3795,26914,180,2116
3795,26914,180,78033
3795,27057,180,3142
3795,27057,180,2121
3795,27057,180,2116
3795,27109,180,2121
3795,27109,180,2116
3795,27109,180,2118
3795,27109,180,77889
3795,27304,180,2121
3795,27304,180,77802
3795,27304,180,77889
3795,27304,180,3142
3795,27860,180,2121
3795,27860,180,2118
3795,27860,180,77802
3795,27860,180,77889
3795,28097,180,2118
3795,28109,0,NULL
3795,28122,0,NULL
3795,28313,300,2118
3795,28321,300,2116
3795,58785,180,2113
3795,58900,0,NULL
32454,69735,0,77790
32454,69735,0,3134
32454,69735,0,2111
32454,69735,0,2116
32454,70758,0,78144
32454,70758,0,78151
32454,70758,0,77787
32454,70758,0,77959
32454,70758,0,78095
32454,70758,0,2120
32454,70758,0,2116
32454,71782,0,77851
32454,71782,0,77909
20791,45432,0,24
20791,45432,0,13
20791,45432,0,5
20791,45432,0,21
20791,45432,0,2
38634,84160,0,NULL
7831,23527,250,77780
36481,79333,280,78049
33492,72232,0,77893
24891,53662,150,77938
35123,75918,680,77926
34485,74459,0,NULL
33864,73106,0,NULL
34435,74335,0,NULL
34043,73512,0,NULL
33428,72064,0,NULL
35169,76087,0,NULL
34326,74125,0,NULL
34255,74007,0,NULL
33617,72512,0,NULL
33359,71879,210,3141
34256,74008,0,NULL
31807,68228,0,16
31807,68228,0,24
31807,68228,0,6
31807,68228,0,28
10711,27593,250,2113
19355,42598,0,28
19355,42598,0,24
19355,42598,0,7
19355,42598,0,21
19355,42598,0,67
4906,17693,250,2118
36321,78961,0,NULL
7473,22844,450,2116
7473,22844,450,2121
7473,22844,450,2118
23627,51190,600,77906
27439,58541,0,NULL
26150,56053,0,NULL
26150,56626,0,NULL
26150,72331,430,78224
26150,72332,630,78224
26150,72332,630,78252
26150,73480,280,78224
26150,73481,0,NULL
23942,NULL,NULL,NULL
32132,68984,430,78190
21370,46697,510,77888
21370,46697,510,78068
21370,46697,510,77890
7141,NULL,NULL,NULL
16373,37494,250,3135
16373,37494,250,3141
34714,74976,280,2120
34714,77192,280,2120
34714,83381,280,2120
34714,83538,280,2120
34714,83539,280,2120
27347,58341,290,78139
7592,NULL,NULL,NULL
31372,67116,150,77845
30713,65518,0,38
30713,65518,0,31
30713,65518,0,95
30713,65518,0,96
30713,65518,0,42
30713,66848,0,NULL
12904,31145,250,77955
12904,31145,250,3144
12904,31146,250,77955
12904,31146,250,77847
12904,31149,250,77847
12904,31149,250,77955
12904,31175,250,77955
12904,31175,250,77847
37209,81158,280,3134
37209,81158,280,3141
11289,28541,250,77938
11289,28541,250,11
11289,28541,250,77787
11289,29165,600,77926
11289,29165,600,1
11289,29191,0,14
11289,29191,0,28
11289,29191,0,5
11289,29191,0,27
11289,29191,0,1
3703,15648,250,3134
3703,15648,250,77907
3703,15648,250,2117
3703,15648,250,77802
3703,15648,250,77810
3703,15648,250,77889
3703,15648,250,77898
3703,15653,300,3134
3703,15653,300,77810
3703,15653,300,77802
3703,15660,250,3134
3703,15660,250,2117
3703,15660,250,77846
3703,15660,250,77802
3703,15660,250,77810
3703,15660,250,77889
3703,15660,250,77898
3703,15790,250,NULL
3703,15806,250,2117
3703,15806,250,77846
3703,15806,250,3134
3703,15806,250,77802
3703,15806,250,77810
3703,15806,250,77898
3703,15806,250,77889
3703,15807,250,77846
3703,15807,250,3134
3703,15807,250,77802
3703,15807,250,77810
3703,15807,250,77898
3703,15807,250,2110
3703,15807,250,77808
3703,15810,250,77802
3703,15810,250,77810
3703,15810,250,77889
3703,15810,250,77898
3703,15810,250,3134
3703,15827,250,2117
3703,15827,250,77846
3703,15827,250,77898
3703,15827,250,77802
3703,15827,250,3134
3703,15828,250,77898
3703,15828,250,77802
3703,15828,250,77810
3703,15828,250,3134
3703,15828,250,2117
3703,15828,250,77846
3703,15831,250,3134
3703,15831,250,77810
3703,15831,250,77889
3703,15839,250,3134
3703,15839,250,77810
3703,26786,300,77846
3703,26786,300,77811
3703,59729,180,77898
3703,59731,180,77933
3703,59731,180,77875
3703,59829,0,NULL
3703,59840,180,77933
3703,60173,450,77933
3703,60173,450,77875
3703,60195,450,77933
3703,60195,450,77875
3703,60195,450,77931
3703,60195,450,77817
3703,63654,180,77933
3703,63654,180,77875
3703,63654,180,77931
3703,63654,180,77817
12339,NULL,NULL,NULL
5862,19528,250,3135
5862,19528,250,77782
5862,19552,250,NULL
5862,19554,250,3135
5862,19554,250,3141
25705,55190,0,NULL
10689,NULL,NULL,NULL
30678,65436,0,NULL
25324,54496,50,76
25711,55200,0,NULL
21979,47924,250,3140
21979,49865,250,3140
21979,49865,250,2117
21979,49915,250,3140
21979,49915,250,2117
21979,49915,250,77810
21979,49931,250,3140
21979,49931,250,2117
21979,49931,250,77810
21979,52708,250,3134
21979,52708,250,2115
21979,52708,250,77809
21979,52708,250,77810
21979,52708,250,77808
21979,55247,300,2115
21979,55247,300,77810
21979,55247,300,77812
21979,55913,290,2115
21979,55913,290,77809
21979,55913,290,3134
21979,55913,290,2117
21979,55914,250,2120
21979,55914,250,77913
21979,55914,250,3134
16236,NULL,NULL,NULL
2347,13355,250,77862
2347,13355,250,2121
2347,13355,250,77800
2347,13355,250,77867
2347,13355,250,77869
2347,13358,250,77862
14976,NULL,NULL,NULL
20996,45894,0,NULL
20996,45984,150,78088
36220,78712,0,92
36220,78712,0,128
15770,36363,250,77926
35382,76643,0,219
35382,76643,0,215
35382,76643,0,34
13408,NULL,NULL,NULL
13849,32995,250,2120
16304,38037,180,78067
4984,17874,250,2117
23934,51826,400,2113
23934,51826,400,2115
23934,78164,280,2113
23934,78165,280,2113
35490,76932,150,2117
35490,78992,0,77932
35490,78992,0,2117
28826,61292,0,97
28826,61292,0,90
28826,61292,0,28
34153,73801,0,98
34153,73801,0,24
34153,73801,0,28
34153,73801,0,246
8011,23726,0,7
8011,23726,0,4
8011,23726,0,21
1490,12068,180,NULL
32135,68987,280,2120
27950,59554,0,77938
27950,64355,0,77938
27950,64367,0,77938
14295,33573,180,77931
14295,33573,180,78049
14295,33573,180,2117
14295,33584,180,77931
14295,33584,180,77953
14295,33584,180,78049
14295,33584,180,77799
14295,33584,180,77867
14295,33584,180,77866
14295,33584,180,77828
14295,35082,180,77931
14295,35082,180,77937
14295,35082,180,77953
14295,35082,180,77875
14295,36127,370,77898
14295,36127,370,77931
14295,36127,370,77953
14295,36127,370,77875
14295,36127,370,77937
14295,37480,340,77931
14295,37480,340,77953
14295,37480,340,77937
14295,37480,340,77875
14295,37480,340,77898
14295,37480,340,77959
14295,37919,250,77953
14295,45437,0,NULL
14295,45556,0,NULL
14295,56550,180,2120
14295,56550,180,2113
14295,65633,220,78170
14295,65633,220,2111
14295,65633,220,78201
14295,65633,220,2120
14295,65633,220,78049
14295,68376,210,78049
14295,68376,210,2120
14295,68376,210,2111
14295,74749,0,NULL
14295,81518,480,2121
14295,81518,480,2120
38624,84145,280,78147
38624,84145,280,78124
22769,49374,150,3144
36767,80044,0,76
36767,80044,0,108
36767,80044,0,113
20600,45462,290,77787
20600,49358,290,77787
20600,49434,250,78095
20600,65472,290,77787
38284,83384,400,78111
38284,83384,400,77808
38284,83391,400,2121
38284,83391,400,77808
38284,83391,400,2117
38284,83391,400,2111
38284,83391,400,77811
1251,11718,180,77790
25972,55695,0,85
25972,55695,0,91
25972,55695,0,68
25972,55695,0,63
25972,55695,0,60
8628,24286,600,77849
23227,50389,400,2119
23227,50389,400,78058
25558,54979,0,NULL
9799,NULL,NULL,NULL
29934,NULL,NULL,NULL
6079,NULL,NULL,NULL
8848,24500,0,11
9407,63512,150,3144
9407,71992,280,1121
9407,71992,280,77856
9815,25992,0,14
34446,74364,280,2121
34446,74602,330,2121
4131,16386,250,2117
4603,NULL,NULL,NULL
12534,30531,0,1
13774,32666,400,77925
13774,32666,400,77849
13774,32666,400,78040
28675,60944,150,78092
2383,13433,250,2117
30406,64827,250,78041
2283,13248,250,2121
10108,NULL,NULL,NULL
4987,17880,180,3142
4987,17880,180,2121
4987,17904,250,NULL
4987,19665,550,77792
4987,19665,550,2121
4987,19665,550,2120
4987,19665,550,2117
4987,19665,550,77802
4987,74108,270,77780
4987,74109,270,78130
4987,74109,270,77802
4987,74109,270,3134
4987,74109,270,2120
4987,74109,270,3141
13659,NULL,NULL,NULL
34306,74093,280,78079
1403,11937,180,2120
5406,18625,250,77906
5406,18636,330,77819
5406,18925,250,77899
5406,18982,250,77899
5406,22869,150,2120
5406,41748,330,2120
5406,41750,600,2120
5406,47252,330,78119
5406,49521,0,NULL
5406,55661,0,78125
2579,29939,180,3134
2579,29939,180,77864
2579,29939,180,2117
2579,42894,180,3140
6751,21296,250,3134
8610,24269,0,1
9543,25568,50,77969
5562,18864,250,3144
4362,16832,250,77818
4362,16832,250,2120
4362,16855,250,2110
4362,16855,250,2120
4362,16855,250,77818
5840,19441,250,NULL
10697,27565,0,15
10697,27565,0,22
10697,27565,0,12
32898,70884,0,NULL
3370,15149,250,NULL
3370,15355,250,1121
3370,15355,250,77876
3370,27427,250,77876
3370,29322,250,78075
3370,45344,290,77848
3370,45344,290,77876
3370,45344,290,77925
14752,34530,600,77780
4204,16521,330,77846
4204,16521,330,77904
4204,16521,330,77811
4204,16521,330,3134
4204,16521,330,77889
4204,21975,0,NULL
4204,24563,330,3134
4204,24563,330,77846
4204,24563,330,77819
4204,24563,330,77811
4204,24570,330,2121
4204,56848,330,77846
4204,56848,330,77904
4204,56848,330,77889
4204,56848,330,3134
4204,58437,370,3134
4204,58437,370,77846
4204,58437,370,77904
4204,58437,370,77889
4204,58437,370,77811
4204,59224,600,77904
4204,59224,600,77846
4204,59224,600,77811
4204,59442,0,NULL
37390,81593,0,NULL
37390,81647,0,NULL
14654,34351,600,77780
14654,34354,450,77780
7425,22950,0,NULL
7425,23023,600,77782
7425,24603,400,77932
7425,24607,250,77932
7425,24653,180,77932
7425,24653,180,77888
7425,24653,180,77890
7425,25269,150,77888
20923,45706,870,78092
20923,45706,870,78098
29022,61737,0,2116
35252,NULL,NULL,NULL
31526,67514,150,77925
31526,68055,150,77925
31526,68213,150,77851
31526,68214,150,77851
17311,39167,0,78089
31181,66624,0,64
34416,74299,0,75
34416,74299,0,64
29354,62512,250,2117
5995,19705,180,77901
5995,19705,180,77902
5995,19766,180,77902
5995,19767,250,NULL
5995,19892,180,77901
5995,19892,180,77902
5995,19994,120,77901
5995,19994,120,77902
14384,33758,600,77926
14384,33758,600,34
14384,33895,250,77780
14384,33895,250,77784
4436,16947,250,77850
4436,16947,250,3144
33607,72699,0,3137
33607,72699,0,77811
21649,47253,0,NULL
9878,26071,0,5
9878,26071,0,3
9878,26071,0,4
9878,26071,0,6
9878,26071,0,1
9878,27472,0,NULL
26989,57761,450,78139
26989,58023,660,78139
26989,58149,720,78139
26989,58149,720,77817
20088,43923,250,3142
29538,62899,150,2121
34437,74339,630,78243
34437,74339,630,78170
34437,74339,630,77875
34437,74339,630,25
24592,53129,0,NULL
1954,12699,180,2117
24983,NULL,NULL,NULL
37777,NULL,NULL,NULL
35651,77350,0,24
35651,77350,0,6
6962,21646,600,77787
24791,53481,0,NULL
11243,28498,300,2115
185,10241,180,77787
1961,12712,180,77783
28254,60144,0,NULL
12412,30394,600,77849
12412,37849,250,77851
12412,37849,250,77955
12412,48172,250,77849
12412,48172,250,77955
12412,53968,250,77955
12412,53968,250,77849
12412,54707,0,NULL
12412,55130,250,77955
12412,55130,250,77849
3382,15164,250,77890
3614,15531,180,77862
3614,15531,180,77799
3614,15531,180,2114
3614,15531,180,77800
11723,29292,250,77938
11322,28595,0,1
13446,32100,250,77800
13446,32100,250,77926
13446,32100,250,77894
13446,32106,300,77800
13446,32106,300,77926
13446,32106,300,77894
13446,32106,300,77812
13446,32106,300,77895
13446,32106,300,77950
13446,32112,0,NULL
13446,32129,300,77800
13446,32129,300,77894
13446,32129,300,77812
13446,32129,300,77895
13446,32129,300,77898
13446,32129,300,78047
13446,32129,300,77926
13446,32358,300,77926
13446,32358,300,77894
13446,32358,300,77895
13446,32358,300,77812
13446,32358,300,77932
13446,32358,300,77898
13446,32401,550,77895
13446,32401,550,77894
13446,32401,550,77926
13446,32401,550,77812
13446,32401,550,77885
13446,32401,550,77898
3563,15474,250,3135
5123,18129,NULL,77938
5123,18129,NULL,2117
5123,18277,NULL,2110
5123,19406,NULL,2117
5123,19406,NULL,2111
5123,19406,NULL,77846
5123,21212,0,3142
5123,21212,0,77941
6834,21486,250,2113
24155,52264,250,2121
24155,52264,250,2117
12450,43123,0,NULL
2491,13607,250,NULL
2491,15488,250,77785
2491,15488,250,3134
2491,15492,250,77883
12240,30213,250,78058
11728,29302,150,77814
34018,73449,0,NULL
8901,NULL,NULL,NULL
6733,21239,250,2117
23426,NULL,NULL,NULL
21726,NULL,NULL,NULL
37066,80818,0,3137
37066,80819,0,3137
37066,80819,0,77811
38031,82832,0,2120
38031,82832,0,77809
38031,82832,0,3140
38031,84033,0,2113
38031,84033,0,78195
27276,58212,50,76
22444,48800,0,74
35586,77169,280,2117
35586,77169,280,2120
36638,79689,630,2120
526,10788,180,2121
526,10788,180,2117
526,10788,180,3140
526,17314,180,2117
526,17314,180,77864
526,17314,180,3134
526,17452,250,3134
526,17452,250,77864
526,17452,250,2117
526,17507,180,77926
526,17507,180,3134
526,17507,180,2117
526,17507,180,77864
526,17507,180,77928
526,17507,180,77799
526,32329,180,3134
526,32329,180,2115
526,32329,180,2118
526,32329,180,2117
526,32329,180,77864
526,33586,180,3134
526,33586,180,2117
526,33586,180,77864
526,33726,180,77802
526,33726,180,77806
526,33726,180,3134
526,33726,180,77864
526,33726,180,2117
526,34078,180,3134
526,34078,180,77802
526,34078,180,2117
526,34078,180,77864
526,34178,220,2118
526,34178,220,2117
526,34178,220,77864
526,34178,220,77802
526,50311,290,3140
526,50311,290,2117
526,50311,290,77802
526,50311,290,2118
526,50316,290,3140
526,50316,290,2117
526,50316,290,77802
526,50316,290,2118
526,50348,180,78043
526,52272,180,77925
526,52272,180,3144
526,61214,150,2115
526,61352,150,2115
526,61416,150,2115
526,61451,150,2115
526,63687,150,3140
526,63749,150,2118
526,65740,150,2118
526,76428,210,3134
31806,68225,280,2117
31806,68225,280,77811
31806,68225,280,77808
30012,63907,0,78041
30012,64528,150,78041
30012,64577,100,78041
35856,77789,630,2121
35856,77789,630,2116
10284,26761,400,77781
10284,34635,400,77926
10284,44015,250,77897
10284,44133,250,77898
10284,44133,250,3134
10284,44133,250,77802
10284,44142,250,77898
10284,44142,250,77802
10284,44142,250,2120
10284,44142,250,3134
10284,44150,0,NULL
10284,44931,0,NULL
10284,44953,250,2121
10284,46794,250,2121
10284,46794,250,2120
10284,53834,250,3134
